,Indice,Date,Close,High,Low,Open,Volume,V_t,MA5,MA15,EMA5,EMA15,RSI14,MACD,Signal,STD10,STD20,BollingerBandUpper,BollingerBandLower
0,DowJones,1992-01-29,3225.0,3299.18994140625,3218.469970703125,3272.10009765625,32500000,-1.439445501376532,3239.4400390625,3236.286686197917,3241.313584916461,3232.830896392041,52.44710932127869,15.889555158360054,16.559039373644943,17.385726729933598,28.370896968057988,3283.091806143147,3169.6082182709156
1,DowJones,1992-01-30,3244.89990234375,3247.320068359375,3216.010009765625,3225.0,22080000,0.6170512354651163,3243.080029296875,3238.6466796875,3242.509024058891,3234.3395221360042,56.950381011755525,15.388004528584588,16.324832404632872,17.295829352884038,25.61241441432904,3281.1998410356896,3178.750183378373
2,DowJones,1992-01-31,3223.39990234375,3255.3701171875,3222.719970703125,3244.89990234375,20610000,-0.6625782195768449,3241.2,3240.2400065104166,3236.139316820511,3232.9720696619725,55.65526370386388,13.104590165899026,15.680783956886103,16.683708088009674,24.78576112236686,3280.6415295689526,3181.498485079485
3,DowJones,1992-02-03,3234.10009765625,3239.0400390625,3213.550048828125,3223.39990234375,18860000,0.3319537021987199,3239.9,3243.47333984375,3235.459577099091,3233.113073161257,47.87199601544017,12.01982708426931,14.948592582362744,15.983147748264512,23.69164995749807,3280.153307239215,3185.3867074092223
4,DowJones,1992-02-04,3272.800048828125,3272.81005859375,3229.429931640625,3234.10009765625,23970000,1.1966219351071052,3240.039990234375,3245.2466796875,3247.906401008769,3238.0739451196155,52.30125983299139,14.120138984631922,14.78290186281658,18.45368906153568,24.336973086227,3284.843953496673,3187.4960611517645
5,DowJones,1992-02-05,3257.60009765625,3282.199951171875,3251.7900390625,3272.800048828125,27360000,-0.4644326248197646,3246.560009765625,3245.1866861979165,3251.1376332245964,3240.5147141866946,51.26182770937915,14.39223751411555,14.704768993076375,18.602548484529912,23.53852437841728,3285.9320658466786,3191.777968333009
6,DowJones,1992-02-06,3255.60009765625,3265.64990234375,3238.60009765625,3257.60009765625,20490000,-0.06139489010449572,3248.700048828125,3245.5866861979166,3252.625121368481,3242.400387120389,48.45192947919984,14.28186186041603,14.620187566544306,18.024800514844614,22.75683843200616,3286.6736988366683,3195.646345108644
7,DowJones,1992-02-07,3225.39990234375,3269.89990234375,3207.9599609375,3255.60009765625,21660000,-0.9276383587235277,3249.100048828125,3242.9466796875,3243.5500483602377,3240.275326523309,45.57000798673718,11.62349655853859,14.020849364943164,18.758886913251775,20.924530939687305,3284.304078969218,3200.6059552104693
8,DowJones,1992-02-10,3245.10009765625,3247.989990234375,3223.840087890625,3225.39990234375,16100000,0.6107830318400138,3251.300048828125,3242.3533528645835,3244.0667314589086,3240.878422914927,53.47870057125145,10.979795773636852,13.412638646681902,18.691466273846867,16.0859304219804,3277.6018779338046,3213.2581562458827
9,DowJones,1992-02-11,3251.60009765625,3259.6201171875,3236.139892578125,3245.10009765625,23400000,0.20030198774745278,3247.06005859375,3244.233365885417,3246.5778535246895,3242.218632257592,49.26574468248569,10.868864437618413,12.903883804869205,16.45215352424369,16.14474822525031,3277.9895208645635,3213.410527963562
10,DowJones,1992-02-12,3276.800048828125,3286.0,3244.6298828125,3251.60009765625,21580000,0.775001550468617,3250.900048828125,3245.633365885417,3256.6519186258347,3246.541309328909,58.87982871247027,12.668343234362055,12.856775690767776,18.040683690485242,17.37971074206155,3281.374448339592,3211.8556053713455
11,DowJones,1992-02-13,3246.699951171875,3283.989990234375,3236.360107421875,3276.800048828125,22200000,-0.9185820681067993,3249.12001953125,3246.96669921875,3253.3345961411815,3246.5611395592796,52.270479538805596,11.532675319239388,12.5919556164621,18.007170606669884,17.36558694061508,3281.20119341248,3211.73884565002
12,DowJones,1992-02-14,3246.0,3254.699951171875,3221.820068359375,3246.699951171875,21260000,-0.021558849983114615,3253.2400390625,3247.8466959635416,3250.889730760788,3246.4909971143697,50.902992228338874,10.455643949586829,12.164693283087047,15.723120875365579,16.809332195377646,3279.1386839220054,3211.9013551404946
13,DowJones,1992-02-18,3224.699951171875,3268.56005859375,3219.139892578125,3246.0,21970000,-0.6561937408541282,3249.160009765625,3246.786686197917,3242.1598042311507,3243.7671163715577,41.79361871019936,7.793514121551652,11.290457450779968,17.079536944940767,17.30098850675836,3278.6569941033604,3209.453040076327
14,DowJones,1992-02-19,3230.300048828125,3241.72998046875,3215.340087890625,3224.699951171875,22930000,0.1736625962429432,3244.9,3244.0000162760416,3238.2065524301424,3242.0837329286287,51.07158053315933,6.0657163300388675,10.245509226631748,16.098890852499494,16.93228720294926,3278.264598819961,3210.535450008164
15,DowJones,1992-02-20,3280.60009765625,3283.77001953125,3230.550048828125,3230.60009765625,25840000,1.5571324046623052,3245.660009765625,3247.706689453125,3252.3377341721784,3246.8982785195813,56.427819127144474,8.655443136880422,9.927496008681484,19.27344668667639,18.63369510710261,3282.907417069674,3208.372636641264
16,DowJones,1992-02-21,3280.199951171875,3286.669921875,3252.909912109375,3280.60009765625,26840000,-0.012197356351384478,3252.360009765625,3250.060026041667,3261.625139838744,3251.060987601118,61.06778353188328,10.553873329961334,10.052771472937454,21.725495665176716,19.587357194455166,3287.489741244379,3209.1403124665585
17,DowJones,1992-02-24,3282.39990234375,3289.800048828125,3266.10009765625,3280.199951171875,17880000,0.06706759358035634,3259.639990234375,3253.993359375,3268.5500606737464,3254.978351943947,59.733915884355746,12.096470032496654,10.461511184849295,21.815645900092505,20.631712427110255,3292.0584443854705,3209.5315946770297
18,DowJones,1992-02-25,3257.800048828125,3282.199951171875,3240.3798828125,3282.199951171875,20980000,-0.749447180340818,3266.260009765625,3255.5733561197917,3264.966723391873,3255.331064054469,46.794878482909155,11.20482420523058,10.610173788925552,21.44872115832289,20.542671485191587,3292.7403600602265,3210.5696741194606
19,DowJones,1992-02-26,3283.300048828125,3290.919921875,3254.469970703125,3257.800048828125,21160000,0.7827368045246575,3276.860009765625,3256.2733561197915,3271.077831870624,3258.827187151176,55.25990476238064,12.412739021985544,10.97068683553755,22.748526537762082,21.269152919389306,3294.753320487216,3209.6767088096585
20,DowJones,1992-02-27,3269.5,3286.89990234375,3265.8798828125,3283.300048828125,18710000,-0.4203103165380974,3274.639990234375,3257.066682942708,3270.5518879137494,3260.161288757279,52.713758403337316,12.116796718088608,11.199908812047763,22.29346337198855,20.58903853554906,3295.6180917195356,3213.2619375773397
