,Indice,Date,Close,High,Low,Open,Volume,V_t,MA5,MA15,EMA5,EMA15,RSI14,MACD,Signal,STD10,STD20,BollingerBandUpper,BollingerBandLower
27,HangSeng,2001-10-19,9825.83984375,9948.0,9801.6298828125,9894.419921875,297211400.0,-0.5543231223953559,10049.26796875,10112.031966145832,10015.206018758938,10089.839932244142,54.099791462152396,-167.17584630820966,-226.16458233137868,221.2446249166723,455.3556772514356,10800.659840830996,8979.237131825254
28,HangSeng,2001-10-22,9797.5400390625,9874.3896484375,9758.98046875,9832.1103515625,236566000.0,-0.2880141050283949,9982.6580078125,10125.1486328125,9942.65069219346,10053.302445596437,46.83950294858278,-176.81369691547116,-216.2944052481972,243.67770221072942,435.86092073269106,10785.648306309131,9042.204623378368
29,HangSeng,2001-10-23,10219.83984375,10224.1201171875,9935.900390625,9935.900390625,344018800.0,4.310263627439166,9996.9279296875,10143.091276041667,10035.047076045641,10074.119620365633,55.77947383867459,-148.66201485873353,-202.76792717030446,234.19823449394963,374.207659006229,10726.623765278082,9229.793129253167
30,HangSeng,2001-10-24,10243.4599609375,10280.08984375,10158.73046875,10231.3896484375,287418600.0,0.2311202283854283,9993.4580078125,10166.179296875,10104.518037676262,10095.287162937117,49.11527079636899,-123.02747381517838,-186.81983649927926,230.59120594881358,340.56785508934536,10707.29215549119,9345.020735133809
31,HangSeng,2001-10-26,10404.740234375,10475.1904296875,10330.4404296875,10330.4404296875,346798600.0,1.5744706774129795,10098.283984375,10174.0693359375,10204.592103242509,10133.968796866851,52.46973735191556,-88.67574635509845,-167.1910184704431,210.44743826648354,291.06802388019327,10668.026526276011,9503.754430755238
32,HangSeng,2001-10-29,10178.08984375,10406.9296875,10079.0302734375,10406.9296875,294616600.0,-2.1783378106470774,10168.733984375,10167.45,10195.758016745007,10139.483927727244,54.212745342042695,-78.83182299486361,-149.5191793753272,204.67350782718765,237.93920040511082,10602.085871513345,9650.329069892903
33,HangSeng,2001-10-30,10076.4296875,10139.7099609375,9927.41015625,10064.0703125,250693600.0,-0.9988137048370217,10224.5119140625,10174.689973958333,10155.981906996672,10131.602147698839,43.59724058067504,-78.3306211685267,-135.2814677339671,204.75532300469803,204.01095109532238,10558.011355315644,9741.967550934354
34,HangSeng,2001-10-31,10073.9697265625,10091.650390625,9945.5400390625,10025.8203125,222865600.0,-0.024413021415230312,10195.337890625,10155.692643229168,10128.644513518615,10124.398095056797,44.779187405286635,-77.24152122360647,-123.67347843189498,204.2949742692198,199.48511576846397,10555.123161224428,9757.182698150571
35,HangSeng,2001-11-01,10158.849609375,10189.5595703125,10107.08984375,10110.919921875,203404400.0,0.8425663875948853,10178.4158203125,10146.399934895833,10138.712878804077,10128.704534346572,40.943837795231936,-68.73694775210424,-112.68617229593684,197.59760659880692,189.95660223002477,10549.151632194425,9789.325223274325
36,HangSeng,2001-11-02,10186.0595703125,10333.8798828125,10097.6396484375,10238.099609375,251110800.0,0.2678449035448811,10134.6796875,10123.963216145834,10154.495109306885,10135.873913842313,47.535929354419174,-59.11989817397989,-101.97291747154546,185.5738707975824,188.01482863989807,10540.251581107921,9788.192266548329
37,HangSeng,2001-11-05,10430.7197265625,10434.7802734375,10165.509765625,10202.2998046875,244442600.0,2.401911696678739,10185.2056640625,10134.4025390625,10246.569981725424,10172.729640432337,57.94747112401327,-31.394392186288314,-87.85721241449403,178.76852529451486,195.83594635064352,10563.560808716911,9780.217023314339
38,HangSeng,2001-11-06,10356.0498046875,10556.7197265625,10303.0595703125,10528.169921875,265733600.0,-0.7158654803546128,10241.1296875,10149.433203125,10283.063256046116,10195.644660964232,55.335777861571685,-15.270933773581419,-73.33995668631151,126.72500079344915,193.77443962239875,10578.848781588547,9803.751023098952
39,HangSeng,2001-11-07,10269.7900390625,10454.6904296875,10216.509765625,10419.240234375,257144400.0,-0.8329408148071661,10280.29375,10157.519856770834,10278.638850384912,10204.912833226515,50.23399800709831,-9.345687730592545,-60.54110289516772,127.14023297453438,190.71690213134153,10568.276724184558,9805.409115659193
