,Indice,Date,Close,High,Low,Open,Volume,V_t,MA5,MA15,EMA5,EMA15,RSI14,MACD,Signal,STD10,STD20,BollingerBandUpper,BollingerBandLower
10,Russell2000,1987-10-21,130.64999389648438,130.77000427246094,121.38999938964844,121.38999938964844,449600000.0,7.628300974870575,139.60800170898438,158.40733235677084,137.58038035962124,152.63100935334833,17.195290926779407,-8.711555522832981,-4.072451286131674,16.998486486529675,14.969895503623484,191.09329061051847,131.2137085960245
11,Russell2000,1987-10-22,124.56999969482422,130.64999389648438,124.47000122070312,130.64999389648438,392200000.0,-4.653650582239913,132.59000091552736,155.28533274332682,133.2435868046889,149.1233831460328,14.812603977525654,-10.076458917802938,-5.273252812465928,18.117460015787557,16.923196543092676,192.7923926131629,125.0996064407922
12,Russell2000,1987-10-23,121.58999633789062,124.58000183105469,121.36000061035156,124.58000183105469,245600000.0,-2.39223196936189,126.35999908447266,151.9193323771159,129.3590566490895,145.68170979501502,13.622726732955869,-11.268717299397423,-6.4723457098522275,18.594689500364662,18.6761926207353,193.9353842801669,119.2306137972257
13,Russell2000,1987-10-26,110.33000183105469,121.58000183105469,110.31999969482422,121.58000183105469,308800000.0,-9.260625747158633,121.70599822998047,147.77199961344402,123.01603837641123,141.26274629952,12.082059673930317,-12.972637618292879,-7.772404091540358,19.72089217233006,21.056320556458385,195.73614002954275,111.5108578037092
14,Russell2000,1987-10-27,108.51000213623047,113.12000274658203,108.37000274658203,110.31999969482422,260200000.0,-1.6495963605721082,119.12999877929687,143.6586659749349,118.18069296301765,137.1686532791088,12.009058083582815,-14.304966759826073,-9.078916625197502,19.38565044530496,22.9846986588208,196.56539646314943,104.62660182786621
15,Russell2000,1987-10-28,106.08000183105469,108.5,105.45999908447266,105.45999908447266,279400000.0,-2.23942517494839,114.21600036621093,139.47266642252603,114.14712925236334,133.28257184810204,11.916057201221847,-15.379640991812522,-10.339061498520506,17.981747384911664,24.496187398311783,196.35187415575444,98.3671245625073
16,Russell2000,1987-10-29,110.80000305175781,110.80000305175781,106.05999755859375,106.06999969482422,258100000.0,4.449473170466476,111.46200103759766,135.7220001220703,113.03142051882817,130.47225074855902,17.0085850727732,-15.669831349787856,-11.405215468773976,14.370200603135999,25.106336159937815,194.54217213677015,94.1168274970189
17,Russell2000,1987-10-30,118.26000213623047,118.26000213623047,107.9000015258789,110.79000091552734,303400000.0,6.732850973828837,110.79600219726562,132.53133392333984,114.77428105796227,128.94571967201796,24.393527729263383,-15.123515249157748,-12.148875424850731,9.489582586766065,24.858476179180624,191.35545219051457,91.92154747379206
18,Russell2000,1987-11-02,120.20999908447266,120.22000122070312,118.2699966430664,118.2699966430664,176000000.0,1.6489065728206858,112.77200164794922,129.62133382161457,116.58618706679907,127.8537545985748,25.785465693833885,-14.367586749953475,-12.59261768987128,7.955034332230037,24.179471341807638,187.3809428056856,90.66305743845504
19,Russell2000,1987-11-03,117.72000122070312,122.05000305175781,116.91999816894531,120.19999694824219,227800000.0,-2.071373332279778,114.61400146484375,126.52666727701823,116.96412511810043,126.58703542634083,25.74573257659125,-13.810234202673044,-12.836140992431634,7.825860394161002,23.453888939348857,183.30527772610984,89.4897219687144
20,Russell2000,1987-11-04,117.19999694824219,117.75,116.38999938964844,117.7300033569336,202500000.0,-0.4417297545605917,116.83800048828125,123.55400085449219,117.04274906148102,125.4136556165785,26.210213267419363,-13.257662214969585,-12.920445236939225,6.176847864400096,22.515731289111496,178.84546251718785,88.78253736074186
21,Russell2000,1987-11-05,118.94000244140625,118.94000244140625,117.18000030517578,117.19000244140625,226000000.0,1.4846463638838514,118.46600036621093,120.8393341064453,117.67516685478944,124.60444896968197,29.895310472619485,-12.534847117286049,-12.84332561300859,5.478078596119777,21.315138802855728,174.0382777888169,88.777722577394
22,Russell2000,1987-11-06,119.33000183105469,120.08999633789062,118.94000244140625,118.94000244140625,228290000.0,0.327895898472479,118.68000030517578,118.61200052897135,118.22677851354453,123.94514307735356,39.07517623189435,-11.794580669302363,-12.633576624267345,5.2146321498253645,19.82005626926223,168.7086130573233,89.42838798027437
23,Russell2000,1987-11-09,117.62000274658203,119.31999969482422,117.26000213623047,119.31999969482422,160690000.0,-1.4330001326017263,118.16200103759766,117.54666697184244,118.02451992455704,123.15450053600712,46.56084899127303,-11.216598841645705,-12.350181067743017,5.03645111515563,18.17686605538909,163.11023273638853,90.40276851483218
24,Russell2000,1987-11-10,115.55999755859375,117.62000274658203,115.25,117.62000274658203,184310000.0,-1.7514071925560668,117.73000030517578,117.15800018310547,117.20301246923594,122.20518766383044,34.15249302201259,-10.800270486350854,-12.040198951464586,4.408717693501685,16.03844986030557,156.40440025466876,92.25060081344648
