,Indice,Close,High,Low,Open,Volume,VariationN,VariationN-1,Trend,Amplitude,Date
0,SP500,115.72000122070312,115.87000274658203,115.30000305175781,115.4800033569336,57820000,1.27030868060527,0.2425491799854962,1,0.5699996948242188,1982-04-21
1,SP500,117.19000244140625,117.25,115.72000122070312,115.72000122070312,64470000,1.2373043075642576,1.27030868060527,1,1.529998779296875,1982-04-22
2,SP500,118.63999938964844,118.63999938964844,117.19000244140625,118.0199966430664,71840000,0.5225916636645955,1.2373043075642576,1,1.4499969482421875,1982-04-23
3,SP500,119.26000213623047,119.33000183105469,118.25,118.94000244140625,60500000,-1.0565169492376625,0.5225916636645955,1,1.0800018310546875,1982-04-26
4,SP500,118.0,119.26000213623047,117.7300033569336,119.06999969482422,56480000,-0.6271168337029898,-1.0565169492376625,0,1.529998779296875,1982-04-27
5,SP500,117.26000213623047,118.05000305175781,116.94000244140625,117.83000183105469,50530000,-0.9551447434572258,-0.6271168337029898,0,1.1100006103515625,1982-04-28
6,SP500,116.13999938964844,117.23999786376953,116.11000061035156,116.4000015258789,51330000,0.25831156650113485,-0.9551447434572258,0,1.1299972534179688,1982-04-29
7,SP500,116.44000244140625,116.77999877929688,116.06999969482422,116.20999908447266,48200000,0.32634596826737194,0.25831156650113485,1,0.7099990844726562,1982-04-30
8,SP500,116.81999969482422,116.81999969482422,115.91000366210938,115.95999908447266,46490000,0.5478508742684074,0.32634596826737194,1,0.9099960327148438,1982-05-03
9,SP500,117.45999908447266,117.63999938964844,116.8499984741211,117.41000366210938,58720000,0.17878348894047047,0.5478508742684074,1,0.7900009155273438,1982-05-04
10,SP500,117.66999816894531,118.05000305175781,117.30999755859375,117.8499984741211,58860000,0.8583344539364601,0.17878348894047047,1,0.7400054931640625,1982-05-05
11,SP500,118.68000030517578,118.83000183105469,117.68000030517578,118.81999969482422,67540000,0.6656563140343019,0.8583344539364601,1,1.1500015258789062,1982-05-06
12,SP500,119.47000122070312,119.88999938964844,118.70999908447266,119.08000183105469,67130000,-0.9123662477173111,0.6656563140343019,1,1.1800003051757812,1982-05-07
13,SP500,118.37999725341797,119.48999786376953,118.37000274658203,119.08000183105469,46300000,0.8785275719351393,-0.9123662477173111,0,1.1199951171875,1982-05-10
14,SP500,119.41999816894531,119.58999633789062,118.31999969482422,118.54000091552734,54680000,-0.2093451715233785,0.8785275719351393,1,1.2699966430664062,1982-05-11
15,SP500,119.16999816894531,119.91999816894531,118.76000213623047,119.88999938964844,59210000,-0.797177949852268,-0.2093451715233785,0,1.1599960327148438,1982-05-12
16,SP500,118.22000122070312,119.19999694824219,118.12999725341797,119.08000183105469,58230000,-0.17763414168860958,-0.797177949852268,0,1.0699996948242188,1982-05-13
17,SP500,118.01000213623047,118.4000015258789,118.01000213623047,118.19999694824219,49900000,-1.1016041252648212,-0.17763414168860958,0,0.3899993896484375,1982-05-14
18,SP500,116.70999908447266,118.0199966430664,116.66000366210938,117.62000274658203,45600000,-0.7454397681490366,-1.1016041252648212,0,1.3599929809570312,1982-05-17
19,SP500,115.83999633789062,116.69999694824219,115.70999908447266,116.3499984741211,48970000,-0.8200940765494935,-0.7454397681490366,0,0.9899978637695312,1982-05-18
